product_name_c_1,product_name_c_2,name_similarity,seller_website_c_1,seller_website_c_2,url_similarity,description_c_1,description_c_2,description_similarity,product_category_c_1,product_category_c_2,category_similarity
.net core,.netcore,94.11764705882352,docs.microsoft.com/en-us/dotnet/core,,,"cross-platform (supporting windows, macos, and linux) and can be used to build device, cloud, and iot applications.",,,application frameworks,languages,38.70967741935484
1010 data,1010data,94.11764705882352,1010data.com,,,"its designed to deliver powerful insights on all of your data using a single, cohesive, integration-friendly system. its scalable, democratic, flexible, and incredibly fast.",,,analytics platforms,big data analytics,64.86486486486487
3d product configurator,3d source product configurator,86.79245283018868,cl3ver.com,,,3d product configurator is a solution helps to create online product configurators for the e-commerce site or for the sales team to improve conversion and sales.,,,quote management software,product configurator,31.11111111111111
4mat,4mata,88.88888888888889,,4mata.com,,,"4mata is a design tool that transforms complex lists and data into simple, beautiful visuals.",,recruitment marketing,other design software,38.095238095238095
4screen,4screens,93.33333333333333,4screen.com,,,reach millions of customers when they need it most and give them the best retail experience of their lives,,,other marketing software,interactive content marketing,41.509433962264154
a cloud guru,a cloud guru lms,85.71428571428572,acloud.guru,,,"we're a company founded by engineers, comprised of engineers, building the world's largest cloud computing school to teach engineers. we’ve delivered training to more than a half million students, and we're still on a mission to teach the world to cloud. and we have fun while doing it.","learn by doing with a cloud guru. learn faster. move faster. transform now with courses and real hands-on labs in aws, azure, google cloud, and beyond.",39.81693363844394,education software,learning management systems,35.55555555555555
accelo,accelops,85.71428571428572,accelo.com,,,"manage your entire business from one simple place. from prospect to payment, automate your processes and gain the visibility you need to grow your business.",,,professional services automation software,network security,31.57894736842105
accountberry,accounter,85.71428571428572,accountberry.com,,,accountberry is a online accounting platform that helps business grow being a multilingual accounting software.,,,accounting & finance software,small business accounting,62.96296296296296
actian,actiance,85.71428571428572,,,,,,,data analytics,electronic discovery,23.529411764705888
actionvfx,actionx,87.5,actionvfx.com,,,"actionvfx.com offers a wide range of stock footage focused on visual effects (vfx) assets for use in filmmaking and digital media projects. the library includes a variety of categories such as fire, smoke, explosions, water, weather effects, and more. these assets are created to meet professional production standards, ensuring high-quality resolution and compatibility with various digital editing and compositing software. they are used by filmmakers, vfx artists, and other creative professionals to add visual effects to their projects without having to create them from scratch. the assets are available in different formats and resolutions to suit the technical requirements of diverse projects.",,,stock media software,mobile retargeting,42.10526315789473
acto,actor,88.88888888888889,,actorapp.github.io/business,,,"your team communication and collaboration platform that works on iphone, ipad, android and desktop.",,other education tech,other office software,48.78048780487805
adapti,adaptik,92.3076923076923,,aggateway.org,,,adaptik corporation provides on-premise and cloud software solution to p&c insurance carriers.,,retention marketing,agriculture software,35.89743589743589
adapti,adaptiv,92.3076923076923,,adaptiv-networks.com,,,vino sd-wan is designed to build cloud-ready networks with 10x more speed for 70% less than mpls.,,retention marketing,sd-wan solutions,40.0
adapti,adaptive,85.71428571428572,,skillplan.ca,,,"adaptive is the people development system designed to engage your team in the skills that matter most to their ongoing and future performance. using innovative engagement and accountability mechanisms, the system is guarantees you quantifiable and trackable results that connect learning to real business results.",,retention marketing,talent management software,48.88888888888889
adaptive pay,adaptive payroll,85.71428571428572,adaptivegroups.com,,,"adaptive clouds payroll system's, fully integrated and unified work-flow, makes you feel that everything in control.",,,payroll software,payroll management,41.17647058823529
adaptiveu lms,adaptiveus,86.95652173913044,,adaptiveus.com,,"grow your team. share articles, videos, podcasts and books with your team. foster a growth mindset and nurture collective knowledge.","adaptive us inc. provides cbap®, ccba®, ecba® aac, cbda and cca online trainings, question banks, study guides, simulators, flash cards, audio books, digital learning packs across the globe. adaptive us inc. is the only training organization to offer success guarantee and all-inclusive plans for its workshops. key facts about adaptive us: world’s largest ba publisher and assessments provider premiere partner to iiba, canada and ireb, germany 300+ certified ba professionals 300+ ba workshops – 5000+ bas trained our trainers are part of babok® v3 team",26.78311499272198,learning management systems,education software,35.55555555555555
adaptux,adaptx,92.3076923076923,,adaptx.com,,,"adaptx is a unique adaptive clinical management™ solution that empowers clinical leaders to transform treatments and workflows. adaptx's ai-driven mission control center enables clinical leaders to quickly and easily leverage their real-world data. self-serve. on-the-fly. using adaptx, clinicians rapidly visualize performance, compare approaches, and adapt -- across patients, teams, protocols, workflows, and facilities. hospital leaders are using adaptx to drive financial recovery, generating millions of dollars in revenue and efficiencies. at the same time, adaptx is catalyzing care transformations, including dramatic reductions in length-of-stay, readmissions, and opioid usage. adaptx is also enabling clinicians to rapidly identify and address inequities in care. with adaptive clinical management, leaders transform clinical performance to deliver better patient care and financial results. adaptx enables leaders across health systems to maximize the value of their emr investments.",,recruitment,health care software,25.806451612903224
adepti,adeptia,92.3076923076923,adepti.co,,,"adepti is a b2b saas platform that transforms talent management by using ai to map skills and match employees to internal opportunities, promoting growth and internal mobility. it enables companies to optimize talent, reduce hiring costs, and support continuous learning, thereby enhancing organizational efficiency and employee engagement.",,,talent management software,integrations platform-as-a-service (ipaas),26.470588235294112
administrate,administrate lms,85.71428571428572,getadministrate.com,,,administrate is training administration software created specifically for training providers to manage their entire operation from one place.,"a mobile friendly lms that supports elearning, instructor led training, and blended learning.",42.73504273504274,talent management software,learning management systems,52.83018867924528
admitad,admitkard,87.5,,admitkard.com,,,apply to universities abroad with expert guidance from existing students,,affiliate marketing,education software,32.432432432432435
adobe elearning suite,adobe elearning suite 6,95.45454545454545,,,,,,,other education tech,learning management systems,38.297872340425535
adopt,adopto,90.9090909090909,goadopt.io,,,intuitive and secure cookie widget and consent management platform.,,,consent management platforms,recruitment marketing,36.73469387755102
adp globalview,adp globalview hcm,87.5,,,,,,,human capital management,workforce management,45.45454545454546
adsy - content marketing platform,adsy content marketing platform,96.875,,adsy.com,,,adsy is the platform that helps both marketers and publishers reach the highest results using content marketing. marketers reach their target audience and grow brand awareness; publishers get paid for quality content creation and placement.,,content discovery platform,other digital advertising software,36.66666666666667
advance systems,advance systems inc.,85.71428571428572,advancesystemsinc.com,,,advance systems products comprise an innovative collection of workforce tools that can be configured to suit an organization’s exact workforce management needs.,,,workforce management software,leave management,44.44444444444444
advanced field solutions,advanced fraud solutions,87.5,afsgo.com,,,"advanced field solutions is a field service management software that includes customer request tracking, call status updating, and instant work schedule notifications.",,,field service management software,ad fraud detection,35.29411764705882
advizor,advizr,92.3076923076923,,,,,,,analytics,financial planning,37.03703703703704
aec daily,aec daily lp,85.71428571428572,aecdaily.com,,,"aec daily is the largest provider of online continuing education to the construction, architectural, interior design and engineering community. complimentary courses are available online 24 hours a day, 7 days a week and credits are automatically submitted to aia, csi and dozens of other organizations across the united states and canada. architects, engineers, interior designers and other construction professionals rely on aec daily to maintain their accreditation and keep them current on new products and technologies.","aec daily learning portal is a branded extension of your company's website that offers unlimited courses, unlimited users, and ease of use. https://services.aecdaily.com/learning-portal/",33.80281690140845,education software,learning management systems,35.55555555555555
agari,agarik,90.9090909090909,,agarik.com,,,"agarik industries technology, information and internet company size 51-200 employees headquarters st ouen type privately held founded 1997 specialties hosting, managed services,...",,email security,web hosting providers,22.857142857142854
agencycore,agencyforce,85.71428571428572,,agencyforce.net,,,crm made specifically for the independent insurance broker,,medical practice management,financial services software,40.74074074074075
agentbot,agentbox,87.5,,agentbox.com.au,,,agentbox is a real estate sales and crm software.,,customer self service,real estate software,48.78048780487805
